categorie,criteriu,status,dovada,document_sursa,data_verificare,responsabil,observatii
Calificativ,Excelent -> Summa cum laude,VERIFIED,Regulament Institutional UTCN,HSU 1853/26.09.2024,2026-09-06,,Corespondenta oficiala verificata
Autoevaluare,Fișa de autoevaluare doctoranzi,DONE,Fișa oficiala UTCN,HSU 2123/27.11.2025,2026-09-06,,Criteriile trebuie completate cu dovezi
Publicatii,WoS,TODO,,,,
Publicatii,WoS Proceedings / ISI,TODO,,,,
Publicatii,BDI,TODO,,,,
Publicatii,ERIH+,TODO,,,,
Conferinte,Internationale,TODO,,,,
Conferinte,National,TODO,,,,
Teza,Contributii originale,TODO,,,,
Teza,Metodologie,TODO,,,,
Teza,Rezultate experimentale,TODO,,,,
Teza,Reproductibilitate,TODO,,,,
Software,GitHub,TODO,,,,
Software,JUnit,TODO,,,,
Software,CI,TODO,,,,
Benchmark,QFLPN-12,TODO,,,,
Benchmark,QFLPN-1M,DONE,GitHub Actions #41,benchmark_results.csv,2026-09-06,,8.250 ms secvential; 3.139 ms paralel; speedup 2.6281x
Benchmark,QFLPN-30M,TODO,,,,
Procedura,Rapoarte doctorale,TODO,,,,
Procedura,Presustinere,TODO,,,,
Procedura,Depunere teza,TODO,,,,
Procedura,Sustinere publica,TODO,,,,
Integritate,Verificare similitudine,TODO,,,,
Publicatii,Total planificat,IN_PROGRESS,Registru publicatii,Doctorat_Publicatii_Registru.csv,2026-09-06,,Obiectiv intern 10 publicatii; nu reprezinta garantie pentru Summa cum laude
